2023-01-04 05:52:30 install mount:armhf <none> 2.34-0.1ubuntu9
2023-01-04 05:52:30 status half-installed mount:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:30 status unpacked mount:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:30 install ncurses-base:all <none> 6.2-0ubuntu2
2023-01-04 05:52:30 status half-installed ncurses-base:all 6.2-0ubuntu2
2023-01-04 05:52:30 status unpacked ncurses-base:all 6.2-0ubuntu2
2023-01-04 05:52:30 install ncurses-bin:armhf <none> 6.2-0ubuntu2
2023-01-04 05:52:30 status half-installed ncurses-bin:armhf 6.2-0ubuntu2
2023-01-04 05:52:30 status unpacked ncurses-bin:armhf 6.2-0ubuntu2
2023-01-04 05:52:30 install passwd:armhf <none> 1:4.8.1-1ubuntu5
2023-01-04 05:52:30 status half-installed passwd:armhf 1:4.8.1-1ubuntu5
2023-01-04 05:52:31 status unpacked passwd:armhf 1:4.8.1-1ubuntu5
2023-01-04 05:52:31 upgrade perl-base:armhf 5.30.0-9build1 5.30.0-9build1
2023-01-04 05:52:31 status half-configured perl-base:armhf 5.30.0-9build1
2023-01-04 05:52:31 status unpacked perl-base:armhf 5.30.0-9build1
2023-01-04 05:52:31 status half-installed perl-base:armhf 5.30.0-9build1
2023-01-04 05:52:31 status unpacked perl-base:armhf 5.30.0-9build1
2023-01-04 05:52:32 install procps:armhf <none> 2:3.3.16-1ubuntu2
2023-01-04 05:52:32 status half-installed procps:armhf 2:3.3.16-1ubuntu2
2023-01-04 05:52:32 status unpacked procps:armhf 2:3.3.16-1ubuntu2
2023-01-04 05:52:32 install sed:armhf <none> 4.7-1
2023-01-04 05:52:32 status half-installed sed:armhf 4.7-1
2023-01-04 05:52:32 status unpacked sed:armhf 4.7-1
2023-01-04 05:52:32 install sensible-utils:all <none> 0.0.12+nmu1
2023-01-04 05:52:32 status half-installed sensible-utils:all 0.0.12+nmu1
2023-01-04 05:52:32 status unpacked sensible-utils:all 0.0.12+nmu1
2023-01-04 05:52:32 install sysvinit-utils:armhf <none> 2.96-2.1ubuntu1
2023-01-04 05:52:32 status half-installed sysvinit-utils:armhf 2.96-2.1ubuntu1
2023-01-04 05:52:32 status unpacked sysvinit-utils:armhf 2.96-2.1ubuntu1
2023-01-04 05:52:32 install tar:armhf <none> 1.30+dfsg-7
2023-01-04 05:52:32 status half-installed tar:armhf 1.30+dfsg-7
2023-01-04 05:52:32 status unpacked tar:armhf 1.30+dfsg-7
2023-01-04 05:52:32 install util-linux:armhf <none> 2.34-0.1ubuntu9
2023-01-04 05:52:32 status half-installed util-linux:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:33 status unpacked util-linux:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:33 install zlib1g:armhf <none> 1:1.2.11.dfsg-2ubuntu1
2023-01-04 05:52:33 status half-installed zlib1g:armhf 1:1.2.11.dfsg-2ubuntu1
2023-01-04 05:52:33 status unpacked zlib1g:armhf 1:1.2.11.dfsg-2ubuntu1
2023-01-04 05:52:33 startup packages configure
2023-01-04 05:52:33 configure lsb-base:all 11.1.0ubuntu2 <none>
2023-01-04 05:52:33 status unpacked lsb-base:all 11.1.0ubuntu2
2023-01-04 05:52:33 status half-configured lsb-base:all 11.1.0ubuntu2
2023-01-04 05:52:33 status installed lsb-base:all 11.1.0ubuntu2
2023-01-04 05:52:33 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2023-01-04 05:52:33 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2023-01-04 05:52:33 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2023-01-04 05:52:33 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2023-01-04 05:52:33 configure libsemanage-common:all 3.0-1build2 <none>
2023-01-04 05:52:33 status unpacked libsemanage-common:all 3.0-1build2
2023-01-04 05:52:33 status half-configured libsemanage-common:all 3.0-1build2
2023-01-04 05:52:33 status installed libsemanage-common:all 3.0-1build2
2023-01-04 05:52:33 configure gcc-10-base:armhf 10-20200411-0ubuntu1 <none>
2023-01-04 05:52:33 status unpacked gcc-10-base:armhf 10-20200411-0ubuntu1
2023-01-04 05:52:33 status half-configured gcc-10-base:armhf 10-20200411-0ubuntu1
2023-01-04 05:52:33 status installed gcc-10-base:armhf 10-20200411-0ubuntu1
2023-01-04 05:52:33 configure ncurses-base:all 6.2-0ubuntu2 <none>
2023-01-04 05:52:33 status unpacked ncurses-base:all 6.2-0ubuntu2
2023-01-04 05:52:33 status half-configured ncurses-base:all 6.2-0ubuntu2
2023-01-04 05:52:33 status installed ncurses-base:all 6.2-0ubuntu2
2023-01-04 05:52:33 configure sensible-utils:all 0.0.12+nmu1 <none>
2023-01-04 05:52:33 status unpacked sensible-utils:all 0.0.12+nmu1
2023-01-04 05:52:33 status half-configured sensible-utils:all 0.0.12+nmu1
2023-01-04 05:52:33 status installed sensible-utils:all 0.0.12+nmu1
2023-01-04 05:52:33 configure libcrypt1:armhf 1:4.4.10-10ubuntu4 <none>
2023-01-04 05:52:33 status unpacked libcrypt1:armhf 1:4.4.10-10ubuntu4
2023-01-04 05:52:33 status half-configured libcrypt1:armhf 1:4.4.10-10ubuntu4
2023-01-04 05:52:33 status installed libcrypt1:armhf 1:4.4.10-10ubuntu4
2023-01-04 05:52:33 configure libgcc-s1:armhf 10-20200411-0ubuntu1 <none>
2023-01-04 05:52:33 status unpacked libgcc-s1:armhf 10-20200411-0ubuntu1
2023-01-04 05:52:33 status half-configured libgcc-s1:armhf 10-20200411-0ubuntu1
2023-01-04 05:52:33 status installed libgcc-s1:armhf 10-20200411-0ubuntu1
2023-01-04 05:52:33 configure libc6:armhf 2.31-0ubuntu9 <none>
2023-01-04 05:52:33 status unpacked libc6:armhf 2.31-0ubuntu9
2023-01-04 05:52:33 status half-configured libc6:armhf 2.31-0ubuntu9
2023-01-04 05:52:34 status installed libc6:armhf 2.31-0ubuntu9
2023-01-04 05:52:34 configure libudev1:armhf 245.4-4ubuntu3 <none>
2023-01-04 05:52:34 status unpacked libudev1:armhf 245.4-4ubuntu3
2023-01-04 05:52:34 status half-configured libudev1:armhf 245.4-4ubuntu3
2023-01-04 05:52:34 status installed libudev1:armhf 245.4-4ubuntu3
2023-01-04 05:52:34 configure libsepol1:armhf 3.0-1 <none>
2023-01-04 05:52:34 status unpacked libsepol1:armhf 3.0-1
2023-01-04 05:52:34 status half-configured libsepol1:armhf 3.0-1
2023-01-04 05:52:34 status installed libsepol1:armhf 3.0-1
2023-01-04 05:52:34 configure libattr1:armhf 1:2.4.48-5 <none>
2023-01-04 05:52:34 status unpacked libattr1:armhf 1:2.4.48-5
2023-01-04 05:52:34 status half-configured libattr1:armhf 1:2.4.48-5
2023-01-04 05:52:34 status installed libattr1:armhf 1:2.4.48-5
2023-01-04 05:52:34 configure debianutils:armhf 4.9.1 <none>
2023-01-04 05:52:34 status unpacked debianutils:armhf 4.9.1
2023-01-04 05:52:34 status half-configured debianutils:armhf 4.9.1
2023-01-04 05:52:34 status installed debianutils:armhf 4.9.1
2023-01-04 05:52:34 configure mawk:armhf 1.3.4.20200120-2 <none>
2023-01-04 05:52:34 status unpacked mawk:armhf 1.3.4.20200120-2
2023-01-04 05:52:34 status half-configured mawk:armhf 1.3.4.20200120-2
2023-01-04 05:52:34 status installed mawk:armhf 1.3.4.20200120-2
2023-01-04 05:52:34 configure libdebconfclient0:armhf 0.251ubuntu1 <none>
2023-01-04 05:52:34 status unpacked libdebconfclient0:armhf 0.251ubuntu1
2023-01-04 05:52:34 status half-configured libdebconfclient0:armhf 0.251ubuntu1
2023-01-04 05:52:34 status installed libdebconfclient0:armhf 0.251ubuntu1
2023-01-04 05:52:34 configure base-files:armhf 11ubuntu5 <none>
2023-01-04 05:52:34 status unpacked base-files:armhf 11ubuntu5
2023-01-04 05:52:34 status half-configured base-files:armhf 11ubuntu5
2023-01-04 05:52:35 status installed base-files:armhf 11ubuntu5
